question_raw,question_theme,question_coded,question_text,reworded,survey_text,menu_text
Q8978241.3,Mental Health and Wellbeing,worry_phys,their physical health,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about their physical health,their physical health
Q8978241.4,Mental Health and Wellbeing,worry_mental,their mental health,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about their mental health,their mental health
Q8978241.5,Mental Health and Wellbeing,worry_family,family problems,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about family problems,family problems
Q8978241.6,Mental Health and Wellbeing,worry_money,money problems (including family finances),The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about money problems (including family finances),money problems (including family finances)
Q8978241.7,Mental Health and Wellbeing,worry_look,their appearance,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about their appearance,their appearance
Q8978241.8,Mental Health and Wellbeing,worry_socialmedia,social media ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about social media ,social media 
Q8978241.9,Mental Health and Wellbeing,worry_relationships,relationships/sexual health,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about relationships/sexual health,relationships/sexual health
Q8978242,Mental Health and Wellbeing,mental_talk,"agree with the statement ""It’s okay for me to talk about my mental health.""",The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s). ,It’s okay for me to talk about my mental health.,
Q8978243,Mental Health and Wellbeing,cope_nothing,by doing nothing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Doesn't do anything to cope with problems,by doing nothing
Q8978243.10,Mental Health and Wellbeing,cope_games,by playing computer games,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by playing computer games,by playing computer games
Q8978243.11,Mental Health and Wellbeing,cope_smoke,by smoking,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s). ,Cope with problems by smoking,by smoking
